,City,Cloudiness,Humidity,Latitude,Temperature,Windspeed
560,Shebunino,92,96,57.66,34.94,14.12
561,Mount Pleasant,1,78,33.16,68.67,9.17
562,Boguchany,76,63,58.38,28.37,5.5
563,Upernavik,20,90,72.79,12.98,12.66
564,Tasiilaq,44,79,65.61,19.4,17.22
565,Batagay-Alyta,76,88,67.8,19.28,4.27
566,Curvelo,48,77,-18.76,71.75,2.26
567,Nagua,88,96,19.37,73.64,3.6
568,Ushuaia,75,80,-54.81,41.0,16.11
569,Airai,8,64,-8.93,82.73,1.25
570,Mongo,24,94,4.83,75.35,2.37
571,Avarua,75,88,-21.21,77.0,8.05
572,Yellowknife,5,63,62.45,-7.61,8.05
573,Saldanha,92,100,41.42,46.01,13.67
574,Iberia,48,98,-11.41,73.1,2.15
575,Mar del Plata,64,57,-46.43,65.54,17.25
576,Rikitea,20,100,-23.12,79.04,4.94
577,Vaini,0,39,15.34,91.64,3.27
578,Punta Arenas,0,80,-53.16,41.0,11.41
579,Punta Arenas,0,80,-53.16,41.0,11.41
580,Port Macquarie,75,73,-31.43,75.2,8.05
581,Lisakovsk,0,100,52.55,35.57,6.29
582,Mataura,92,73,-46.19,59.15,27.98
583,Tasiilaq,44,79,65.61,19.4,17.22
584,Hobart,20,40,-42.88,69.8,17.22
585,Hobart,20,40,-42.88,69.8,17.22
586,Vila,40,93,45.18,46.44,2.24
587,Hobart,20,40,-42.88,69.8,17.22
588,Atuona,68,100,-9.8,81.38,16.35
589,Cabo San Lucas,0,98,22.89,68.96,14.23
590,Ushuaia,75,80,-54.81,41.0,16.11
591,Necochea,0,96,-38.55,52.4,6.4
592,Belaya Gora,20,94,68.54,29.81,8.19
593,Khatanga,48,92,71.98,-4.04,4.94
594,Nishihara,1,56,35.74,71.13,13.87
595,Torbay,90,74,47.66,28.4,8.05
596,Saskylakh,0,75,71.97,0.2,6.96
597,Cape Town,0,77,-33.93,64.4,5.82
598,Hofn,0,100,64.25,24.95,18.59
599,Punta Arenas,0,80,-53.16,41.0,11.41
600,Cape Town,0,77,-33.93,64.4,5.82
601,Vaini,0,39,15.34,91.64,3.27
602,Ushuaia,75,80,-54.81,41.0,16.11
603,Chateaubelair,20,78,13.28,78.8,16.11
604,Lethem,44,76,3.38,78.77,11.65
605,Saint-Augustin,0,87,44.83,50.81,10.29
606,Ushuaia,75,80,-54.81,41.0,16.11
607,Rikitea,20,100,-23.12,79.04,4.94
608,Cape Town,0,77,-33.93,64.4,5.82
609,Busselton,0,83,-33.64,75.44,9.42
610,Luderitz,80,82,-26.65,62.6,1.12
611,Alexandria,40,100,31.31,68.49,5.82
612,Saratov,0,69,51.53,35.6,13.42
613,Bluff,88,46,-23.58,84.44,16.02
614,Hagenow,90,100,53.43,44.6,5.82
615,Lavrentiya,0,84,65.58,24.05,2.59
616,Cherskiy,20,73,68.75,32.24,5.73
617,Ushuaia,75,80,-54.81,41.0,16.11
618,Moranbah,48,67,-22.0,77.6,18.7
619,Cherskiy,20,73,68.75,32.24,5.73
620,Ushuaia,75,80,-54.81,41.0,16.11
621,Padang,20,100,-0.92,81.47,5.39
622,Broken Hill,0,34,-31.97,77.69,14.56
623,Mar del Plata,64,57,-46.43,65.54,17.25
624,Boa Vista,90,65,2.82,82.4,13.87
625,Talnakh,12,91,69.49,-7.46,4.16
626,Esperance,20,83,10.24,77.0,5.61
627,Faya,5,55,18.39,64.4,5.82
628,Kamenka,88,95,53.19,34.31,16.13
629,Bredasdorp,8,93,-34.53,59.0,13.0
630,Colares,40,93,38.8,56.59,14.99
631,Cape Town,0,77,-33.93,64.4,5.82
632,Santa Maria,76,97,-29.69,64.28,2.59
633,Atuona,68,100,-9.8,81.38,16.35
634,San Ramon,36,98,12.92,63.92,1.92
635,Carauari,36,95,-4.88,76.07,2.37
636,Mahalapye,20,87,-23.11,66.17,5.73
637,Barrow,0,91,-38.31,54.56,9.19
638,Sao Miguel do Araguaia,48,97,-13.28,70.4,3.38
639,Busselton,0,83,-33.64,75.44,9.42
640,Pevek,0,69,69.7,31.61,9.64
641,Qaanaaq,0,84,77.48,-5.84,9.75
642,Rikitea,20,100,-23.12,79.04,4.94
643,Boshnyakovo,36,71,49.65,28.64,15.35
644,Hilo,1,88,19.71,73.4,6.93
645,New Norfolk,20,40,-42.78,69.8,17.22
646,Rikitea,20,100,-23.12,79.04,4.94
647,Barrow,0,91,-38.31,54.56,9.19
648,Jamestown,0,33,-33.21,75.44,6.96
649,Maragogi,92,100,-9.01,75.8,1.7
650,Busselton,0,83,-33.64,75.44,9.42
651,East London,90,88,-33.02,69.8,9.17
652,Busselton,0,83,-33.64,75.44,9.42
653,Butaritari,80,100,3.07,82.82,10.2
654,Port Alfred,80,95,-33.59,70.85,10.87
655,Nelson Bay,75,60,-32.72,75.2,18.34
656,Ambovombe,20,80,-25.18,79.04,17.92
657,Dikson,36,91,73.51,1.55,18.81
658,Rantauprapat,68,79,2.1,82.19,2.59
659,Cape Town,0,77,-33.93,64.4,5.82
660,Hithadhoo,48,100,-0.6,84.35,3.83
661,Bilma,0,29,18.69,60.77,2.71
662,Ribeira Grande,20,58,38.52,57.2,18.34
663,Cape Town,0,77,-33.93,64.4,5.82
664,Zeya,64,37,53.74,20.09,10.54
665,Nanortalik,44,100,60.14,32.33,18.81
666,Zaraza,8,87,9.35,75.53,9.98
667,Deputatskiy,64,92,69.3,17.57,4.61
668,Uturoa,80,100,-16.73,81.83,11.54
669,Albany,90,69,42.65,30.13,6.93
670,Paysandu,24,77,-32.32,66.71,7.18
671,Yellowknife,5,63,62.45,-7.61,8.05
672,Rikitea,20,100,-23.12,79.04,4.94
673,Vaini,0,39,15.34,91.64,3.27
674,Hamilton,75,86,43.26,34.32,4.7
675,Atuona,68,100,-9.8,81.38,16.35
676,Kahului,90,100,20.89,69.49,9.17
677,Hithadhoo,48,100,-0.6,84.35,3.83
678,Norman Wells,20,70,65.28,-0.41,5.82
679,Hualmay,20,89,-11.1,64.01,4.16
680,George Town,75,66,5.42,89.6,5.82
681,Manggar,32,100,-2.88,79.67,4.38
682,Mar del Plata,64,57,-46.43,65.54,17.25
683,Lavrentiya,0,84,65.58,24.05,2.59
684,Dikson,36,91,73.51,1.55,18.81
685,Carnarvon,92,96,-30.97,58.34,6.62
686,Atuona,68,100,-9.8,81.38,16.35
687,Vaini,0,39,15.34,91.64,3.27
688,Kavaratti,0,100,10.57,85.07,5.39
689,Bay City,90,59,43.59,35.6,3.15
690,Mahebourg,75,79,-20.41,84.2,6.93
691,Butaritari,80,100,3.07,82.82,10.2
692,Dikson,36,91,73.51,1.55,18.81
693,Albany,90,69,42.65,30.13,6.93
694,Cidreira,80,97,-30.17,67.97,6.73
695,Kutulik,0,76,53.35,31.16,8.63
696,Algiers,75,100,29.94,70.52,5.82
697,Itarema,48,94,-2.92,74.45,3.04
698,Vaini,0,39,15.34,91.64,3.27
699,Jizan,20,62,16.89,87.8,2.26
700,Punta Arenas,0,80,-53.16,41.0,11.41
701,Butaritari,80,100,3.07,82.82,10.2
702,Vaini,0,39,15.34,91.64,3.27
703,Qaanaaq,0,84,77.48,-5.84,9.75
704,Cape Town,0,77,-33.93,64.4,5.82
705,Rikitea,20,100,-23.12,79.04,4.94
706,Wyszkow,0,74,52.59,37.4,5.82
707,Khatanga,48,92,71.98,-4.04,4.94
708,Leningradskiy,0,84,69.38,22.88,8.97
709,Dingle,64,75,11.0,82.55,8.41
710,Berdigestyakh,32,43,62.1,11.9,11.77
711,Pontianak,48,82,-0.02,86.69,3.38
712,Sitka,0,29,37.17,64.82,20.49
713,Barcelos,75,87,41.53,55.4,14.99
714,Shimoda,75,68,34.7,71.6,18.34
715,Thio,20,74,-21.61,78.8,18.34
716,Pisco,0,73,-13.71,69.8,9.17
717,Puerto Ayora,44,100,-0.74,75.26,6.06
718,Tasiilaq,44,79,65.61,19.4,17.22
719,Killybegs,92,100,54.63,39.89,9.53
720,Cape Town,0,77,-33.93,64.4,5.82
721,Hervey Bay,92,90,-25.3,77.69,17.92
722,Dikson,36,91,73.51,1.55,18.81
723,Parry Sound,80,83,45.34,24.05,1.92
724,Avarua,75,88,-21.21,77.0,8.05
725,Richards Bay,0,78,-28.77,76.16,10.42
726,Jamestown,0,33,-33.21,75.44,6.96
727,Pisco,0,73,-13.71,69.8,9.17
728,Kaitangata,0,57,-46.28,60.68,28.1
729,Faanui,76,100,-16.48,82.19,11.43
730,Hermanus,76,96,-34.42,62.3,5.95
731,New Norfolk,20,40,-42.78,69.8,17.22
732,Tasiilaq,44,79,65.61,19.4,17.22
733,Jamestown,0,33,-33.21,75.44,6.96
734,Port Alfred,80,95,-33.59,70.85,10.87
735,Gurmatkal,0,35,16.87,95.42,7.74
736,Dudinka,32,82,69.41,-5.03,5.06
737,Hofn,0,100,64.25,24.95,18.59
738,Butaritari,80,100,3.07,82.82,10.2
739,Jamestown,0,33,-33.21,75.44,6.96
740,Tuktoyaktuk,76,78,69.44,-3.03,9.17
741,Aykhal,24,68,65.95,11.09,6.96
742,Airai,8,64,-8.93,82.73,1.25
743,Ushuaia,75,80,-54.81,41.0,16.11
744,Hithadhoo,48,100,-0.6,84.35,3.83
745,Chumikan,76,65,54.72,29.09,11.32
746,Barrow,0,91,-38.31,54.56,9.19
747,Hermanus,76,96,-34.42,62.3,5.95
748,Kapaa,40,83,22.08,71.47,8.05
749,Paramonga,32,98,-10.68,67.34,10.65
750,Mayumba,92,100,-3.44,77.51,2.82
751,Yellowknife,5,63,62.45,-7.61,8.05
752,Viedma,0,47,-40.81,66.17,14.34
753,Borogontsy,88,58,62.67,17.39,10.31
754,Kapaa,40,83,22.08,71.47,8.05
755,Masvingo,0,80,-20.08,64.01,4.38
756,Santa Ana,40,94,13.99,76.08,2.24
757,Lasa,0,56,34.92,65.98,2.24
758,Barrow,0,91,-38.31,54.56,9.19
759,San Patricio,8,94,-26.98,64.19,2.15
760,Tiksi,36,85,71.64,13.97,7.07
761,Cherskiy,20,73,68.75,32.24,5.73
762,Provideniya,20,100,64.42,28.4,2.24
763,Ilulissat,20,78,69.22,10.4,2.24
764,Mar del Plata,64,57,-46.43,65.54,17.25
765,Yenagoa,44,93,4.92,76.7,5.39
766,Bluff,88,46,-23.58,84.44,16.02
767,Bluff,88,46,-23.58,84.44,16.02
768,Hasaki,40,64,35.73,72.73,9.17
769,Kodiak,90,100,39.95,33.8,3.36
770,Ushuaia,75,80,-54.81,41.0,16.11
771,Puerto Ayacucho,88,99,5.66,71.48,2.37
772,Hobart,20,40,-42.88,69.8,17.22
773,Torbay,90,74,47.66,28.4,8.05
774,Tuktoyaktuk,76,78,69.44,-3.03,9.17
775,Qaanaaq,0,84,77.48,-5.84,9.75
776,Butaritari,80,100,3.07,82.82,10.2
777,Rikitea,20,100,-23.12,79.04,4.94
778,Mozarlandia,48,86,-14.74,73.19,4.16
779,Muswellbrook,76,74,-32.27,74.27,8.75
780,Rikitea,20,100,-23.12,79.04,4.94
781,Mahebourg,75,79,-20.41,84.2,6.93
782,Port Alfred,80,95,-33.59,70.85,10.87
783,Labuhan,44,85,-2.54,80.84,3.27
784,Albany,90,69,42.65,30.13,6.93
785,Thompson,5,57,55.74,-13.01,4.38
786,Hobart,20,40,-42.88,69.8,17.22
787,Busselton,0,83,-33.64,75.44,9.42
788,Yellowknife,5,63,62.45,-7.61,8.05
789,Saskylakh,0,75,71.97,0.2,6.96
790,Manzil Salim,75,47,35.86,57.2,2.24
791,Bristol,75,100,51.45,48.58,12.75
792,Puerto Ayora,44,100,-0.74,75.26,6.06
793,Bani,32,100,15.89,77.51,3.94
794,Vaini,0,39,15.34,91.64,3.27
795,Mnogovershinnyy,88,83,53.94,29.09,7.96
796,Oranjestad,80,100,12.52,77.42,15.68
797,Victoria,75,70,5.28,83.98,6.93
798,New Norfolk,20,40,-42.78,69.8,17.22
799,Punta Arenas,0,80,-53.16,41.0,11.41
800,Busselton,0,83,-33.64,75.44,9.42
801,Hermanus,76,96,-34.42,62.3,5.95
802,Mehamn,75,93,71.03,32.0,25.28
803,Georgetown,75,100,6.8,73.4,5.5
804,Port Hedland,0,26,-20.31,104.0,11.41
805,Esna,0,83,45.2,46.55,5.95
806,Cidreira,80,97,-30.17,67.97,6.73
807,Hermanus,76,96,-34.42,62.3,5.95
808,Yellowknife,5,63,62.45,-7.61,8.05
809,Ribeira Grande,20,58,38.52,57.2,18.34
810,Caravelas,8,100,-17.73,80.12,15.01
811,Walvis Bay,92,88,-22.95,68.0,1.12
812,Sao Filipe,56,100,14.9,67.97,14.23
813,Cape Town,0,77,-33.93,64.4,5.82
814,Nanortalik,44,100,60.14,32.33,18.81
815,Oussouye,0,88,12.49,67.12,9.17
816,Leticia,90,100,-4.21,75.2,2.82
817,Bambous Virieux,75,88,-20.34,80.6,8.05
818,Atuona,68,100,-9.8,81.38,16.35
819,Ushuaia,75,80,-54.81,41.0,16.11
820,Bluff,88,46,-23.58,84.44,16.02
821,Kapaa,40,83,22.08,71.47,8.05
822,Barrow,0,91,-38.31,54.56,9.19
823,Ostrovnoy,92,97,68.05,28.01,18.7
824,Kenai,1,68,60.55,27.48,5.82
825,Hilo,1,88,19.71,73.4,6.93
826,Aswan,0,21,24.09,71.6,4.7
827,Atuona,68,100,-9.8,81.38,16.35
828,Hermanus,76,96,-34.42,62.3,5.95
829,Punta Arenas,0,80,-53.16,41.0,11.41
830,Port Alfred,80,95,-33.59,70.85,10.87
831,Kabare,88,100,-1.65,60.77,2.48
832,Vaini,0,39,15.34,91.64,3.27
833,Kaitangata,0,57,-46.28,60.68,28.1
834,Lebu,75,82,8.96,59.0,8.05
835,Port Alfred,80,95,-33.59,70.85,10.87
836,Cape Town,0,77,-33.93,64.4,5.82
837,Tuktoyaktuk,76,78,69.44,-3.03,9.17
838,Tasiilaq,44,79,65.61,19.4,17.22
839,Albany,90,69,42.65,30.13,6.93
840,Port Elizabeth,75,86,39.31,36.82,7.07
841,Ausa,0,30,18.25,95.42,5.5
842,Bilibino,0,80,68.06,37.37,4.83
843,Mount Isa,75,28,-20.73,95.0,12.75
844,Clyde River,90,84,70.47,8.6,4.7
845,Pacific Grove,75,76,36.62,52.25,5.82
846,Carnarvon,92,96,-30.97,58.34,6.62
847,Ushuaia,75,80,-54.81,41.0,16.11
848,Tiksi,36,85,71.64,13.97,7.07
849,Carnarvon,92,96,-30.97,58.34,6.62
850,Chicama,75,93,-7.84,66.2,6.93
851,Bredasdorp,8,93,-34.53,59.0,13.0
852,Kapaa,40,83,22.08,71.47,8.05
853,Butaritari,80,100,3.07,82.82,10.2
854,Vila do Maio,75,72,15.13,66.2,14.99
855,Busselton,0,83,-33.64,75.44,9.42
856,Bambous Virieux,75,88,-20.34,80.6,8.05
857,Ushuaia,75,80,-54.81,41.0,16.11
858,Kamenka,88,95,53.19,34.31,16.13
859,Ayagoz,20,77,47.96,32.06,13.67
860,Victoria,75,70,5.28,83.98,6.93
861,Port Alfred,80,95,-33.59,70.85,10.87
862,Pevek,0,69,69.7,31.61,9.64
863,Mayumba,92,100,-3.44,77.51,2.82
864,Bluff,88,46,-23.58,84.44,16.02
865,Wagar,68,84,31.44,65.54,5.17
866,Portland,20,56,45.52,39.63,3.36
867,Avarua,75,88,-21.21,77.0,8.05
868,Punta Arenas,0,80,-53.16,41.0,11.41
869,Busselton,0,83,-33.64,75.44,9.42
870,Ushuaia,75,80,-54.81,41.0,16.11
871,Barrow,0,91,-38.31,54.56,9.19
872,Hermanus,76,96,-34.42,62.3,5.95
873,Dingle,64,75,11.0,82.55,8.41
874,Albany,90,69,42.65,30.13,6.93
875,Azanka,64,79,58.04,31.97,4.38
876,Albany,90,69,42.65,30.13,6.93
877,Mao,40,100,19.55,71.6,3.36
878,Katsuura,20,44,33.93,75.2,13.87
879,Severo-Kurilsk,92,99,50.68,31.25,18.14
880,Vardo,90,70,39.62,43.11,4.7
881,Bose,75,87,45.46,39.61,3.36
882,Beloha,0,68,-25.17,81.65,16.02
883,Cape Town,0,77,-33.93,64.4,5.82
884,Kapaa,40,83,22.08,71.47,8.05
885,Beipiao,88,67,41.8,34.85,14.23
886,Hermanus,76,96,-34.42,62.3,5.95
887,Rawlins,1,44,41.79,21.2,29.97
888,Ushuaia,75,80,-54.81,41.0,16.11
889,Ushuaia,75,80,-54.81,41.0,16.11
890,Yellowknife,5,63,62.45,-7.61,8.05
891,Severo-Kurilsk,92,99,50.68,31.25,18.14
892,Hervey Bay,92,90,-25.3,77.69,17.92
893,Mlonggo,24,87,-6.53,85.07,4.72
894,Port Elizabeth,75,86,39.31,36.82,7.07
895,Tuatapere,56,100,-46.13,57.8,26.98
896,Torbay,90,74,47.66,28.4,8.05
897,Bambous Virieux,75,88,-20.34,80.6,8.05
898,Mar del Plata,64,57,-46.43,65.54,17.25
899,Jalu,0,61,29.03,57.17,8.08
900,Hobart,20,40,-42.88,69.8,17.22
901,Lorengau,44,100,-2.02,82.37,9.86
902,Cabo San Lucas,0,98,22.89,68.96,14.23
903,Hamilton,75,86,43.26,34.32,4.7
904,Jamestown,0,33,-33.21,75.44,6.96
905,Ilulissat,20,78,69.22,10.4,2.24
906,Cape Town,0,77,-33.93,64.4,5.82
907,Jamestown,0,33,-33.21,75.44,6.96
908,Vaini,0,39,15.34,91.64,3.27
909,Provideniya,20,100,64.42,28.4,2.24
910,Los Llanos de Aridane,75,72,28.66,60.8,4.7
911,Barrow,0,91,-38.31,54.56,9.19
912,Soe,90,80,57.91,30.2,20.8
913,Atuona,68,100,-9.8,81.38,16.35
914,Newport,75,100,51.59,47.48,12.75
915,Cidreira,80,97,-30.17,67.97,6.73
916,Kaduqli,12,29,11.01,79.49,3.6
917,Barrow,0,91,-38.31,54.56,9.19
918,Hobart,20,40,-42.88,69.8,17.22
919,Cherskiy,20,73,68.75,32.24,5.73
920,Aklavik,75,77,68.22,-0.41,3.36
921,Albany,90,69,42.65,30.13,6.93
922,Porosozero,92,97,62.72,36.83,5.95
923,Rikitea,20,100,-23.12,79.04,4.94
924,Mataura,92,73,-46.19,59.15,27.98
925,Carnarvon,92,96,-30.97,58.34,6.62
926,Vaini,0,39,15.34,91.64,3.27
927,Saskylakh,0,75,71.97,0.2,6.96
928,Hobart,20,40,-42.88,69.8,17.22
929,Biak,76,91,-0.91,82.82,2.59
930,Rocky Mountain House,12,71,52.38,6.05,4.27
931,Punta Arenas,0,80,-53.16,41.0,11.41
932,Rikitea,20,100,-23.12,79.04,4.94
933,Avarua,75,88,-21.21,77.0,8.05
934,Mataura,92,73,-46.19,59.15,27.98
935,Izhma,92,80,65.01,29.45,11.99
936,Albany,90,69,42.65,30.13,6.93
937,Cape Town,0,77,-33.93,64.4,5.82
938,Rikitea,20,100,-23.12,79.04,4.94
939,Arraial do Cabo,24,96,-22.97,75.35,2.71
940,Kodiak,90,100,39.95,33.8,3.36
941,Vaini,0,39,15.34,91.64,3.27
942,Leningradskiy,0,84,69.38,22.88,8.97
943,Zinder,0,6,13.81,78.8,9.17
944,Rikitea,20,100,-23.12,79.04,4.94
945,Hithadhoo,48,100,-0.6,84.35,3.83
946,Mount Isa,75,28,-20.73,95.0,12.75
947,Ugoofaaru,36,97,5.67,85.79,6.17
948,Kilindoni,92,100,-7.91,75.62,3.04
949,Jamestown,0,33,-33.21,75.44,6.96
950,Hithadhoo,48,100,-0.6,84.35,3.83
951,Lorengau,44,100,-2.02,82.37,9.86
952,Thinadhoo,48,99,0.53,85.97,4.5
953,Arraial do Cabo,24,96,-22.97,75.35,2.71
954,Mataura,92,73,-46.19,59.15,27.98
955,Avera,1,67,33.19,58.64,5.82
956,Punta Arenas,0,80,-53.16,41.0,11.41
957,Yellowknife,5,63,62.45,-7.61,8.05
958,Zarichne,0,90,51.81,36.02,8.63
959,Manokwari,12,100,-0.87,83.36,17.69
960,Kaoma,0,72,-14.8,68.15,13.22
961,Atuona,68,100,-9.8,81.38,16.35
962,Bethel,1,63,60.79,28.4,13.87
963,Meulaboh,0,100,4.14,85.25,2.93
964,Butaritari,80,100,3.07,82.82,10.2
965,Avera,1,67,33.19,58.64,5.82
966,Ushuaia,75,80,-54.81,41.0,16.11
967,Richards Bay,0,78,-28.77,76.16,10.42
968,Atuona,68,100,-9.8,81.38,16.35
969,Severo-Kurilsk,92,99,50.68,31.25,18.14
970,Coquimbo,0,87,-29.95,55.4,6.93
971,Belozerskoye,36,100,55.82,32.96,4.72
972,Fram,0,50,46.45,47.84,20.8
973,Lebu,75,82,8.96,59.0,8.05
974,Jamestown,0,33,-33.21,75.44,6.96
975,Kabinda,92,100,-6.14,67.88,5.39
976,Hilo,1,88,19.71,73.4,6.93
977,Albany,90,69,42.65,30.13,6.93
978,Dikson,36,91,73.51,1.55,18.81
979,Hithadhoo,48,100,-0.6,84.35,3.83
980,Waingapu,24,100,-9.65,79.04,3.71
981,Mount Darwin,64,81,-16.77,68.24,8.19
982,Puerto Ayora,44,100,-0.74,75.26,6.06
983,Fairview,1,80,40.81,33.22,4.05
984,Bougouni,92,68,11.42,74.09,2.71
985,Saskylakh,0,75,71.97,0.2,6.96
986,Neyshabur,0,84,36.21,59.15,3.15
987,Den Helder,90,93,52.96,48.15,18.34
988,Mount Gambier,0,62,-37.83,68.6,4.38
989,Lesogorsk,24,36,56.05,35.21,5.06
990,Mahibadhoo,80,100,3.78,85.43,2.71
991,Port Alfred,80,95,-33.59,70.85,10.87
992,Hobart,20,40,-42.88,69.8,17.22
993,Qaanaaq,0,84,77.48,-5.84,9.75
994,Lompoc,90,87,34.64,51.8,3.36
995,Lagoa,40,100,37.14,57.2,8.05
996,Namibe,68,100,-15.19,78.14,1.48
997,Hasaki,40,64,35.73,72.73,9.17
998,Puerto Ayora,44,100,-0.74,75.26,6.06
999,Vardo,90,70,39.62,43.11,4.7
1000,Ust-Omchug,64,69,61.13,24.5,6.29
1001,Boddam,90,93,57.47,35.6,10.29
1002,Jamestown,0,33,-33.21,75.44,6.96
1003,Jamestown,0,33,-33.21,75.44,6.96
1004,Bluff,88,46,-23.58,84.44,16.02
1005,Albany,90,69,42.65,30.13,6.93
1006,Mataura,92,73,-46.19,59.15,27.98
1007,Hermanus,76,96,-34.42,62.3,5.95
1008,Chokurdakh,8,88,70.62,23.51,15.68
1009,Hobart,20,40,-42.88,69.8,17.22
1010,Gladstone,92,75,-23.84,77.33,20.04
1011,Cayenne,20,88,4.94,77.0,3.36
1012,Lebu,75,82,8.96,59.0,8.05
1013,Ketchikan,90,93,55.34,34.63,9.98
1014,Saint George,0,71,39.45,51.8,4.7
1015,Punta Arenas,0,80,-53.16,41.0,11.41
1016,Zemio,32,97,5.02,71.12,3.71
1017,Punta Arenas,0,80,-53.16,41.0,11.41
1018,Kapaa,40,83,22.08,71.47,8.05
1019,Srednekolymsk,8,70,67.46,37.19,6.4
1020,Biloela,80,50,-24.4,79.94,15.46
1021,Cansahcab,5,65,21.16,77.0,9.17
1022,Naze,88,97,5.43,74.27,3.94
1023,Hithadhoo,48,100,-0.6,84.35,3.83
1024,Pokosnoye,8,40,55.53,32.42,6.17
1025,Tulum,20,88,20.21,73.4,4.7
1026,Whittlesea,0,52,-37.51,66.2,8.05
1027,Jamestown,0,33,-33.21,75.44,6.96
1028,Bluff,88,46,-23.58,84.44,16.02
1029,Belomorsk,88,92,64.52,37.55,9.08
1030,Port-Gentil,40,100,-0.72,77.0,2.24
1031,Port Elizabeth,75,86,39.31,36.82,7.07
1032,Ushuaia,75,80,-54.81,41.0,16.11
1033,Elizabeth City,90,87,36.3,45.3,10.29
1034,Tete,44,73,-16.16,76.79,8.52
1035,Coruripe,92,100,-10.12,76.97,5.39
1036,Swellendam,92,93,-34.02,59.0,4.83
1037,Severo-Kurilsk,92,99,50.68,31.25,18.14
1038,Butaritari,80,100,3.07,82.82,10.2
1039,Vaini,0,39,15.34,91.64,3.27
1040,Egypt Lake-Leto,75,100,28.02,68.81,6.06
1041,Chuy,56,99,-33.69,66.44,5.17
1042,Longyearbyen,75,55,78.22,10.4,18.34
1043,Puerto Ayora,44,100,-0.74,75.26,6.06
1044,Farnham,75,93,51.22,49.59,13.87
1045,Vaini,0,39,15.34,91.64,3.27
1046,Rikitea,20,100,-23.12,79.04,4.94
1047,Tiksi,36,85,71.64,13.97,7.07
1048,Manaus,40,94,-3.13,77.0,2.37
1049,Tuktoyaktuk,76,78,69.44,-3.03,9.17
1050,Ushuaia,75,80,-54.81,41.0,16.11
1051,Bambous Virieux,75,88,-20.34,80.6,8.05
1052,Gboko,20,89,7.32,75.71,10.65
1053,Isabela,48,79,10.2,83.0,2.15
1054,Ribeira Grande,20,58,38.52,57.2,18.34
1055,Clyde River,90,84,70.47,8.6,4.7
1056,Pozoblanco,40,93,38.38,55.4,3.36
1057,Rikitea,20,100,-23.12,79.04,4.94
1058,Ponta do Sol,44,94,-20.63,64.19,3.04
1059,Tuktoyaktuk,76,78,69.44,-3.03,9.17
1060,Rio Gallegos,0,86,-51.62,39.2,10.29
1061,Kiunga,88,93,-6.12,77.69,4.38
1062,Ponta Delgada,20,58,37.73,59.0,18.34
1063,Qaanaaq,0,84,77.48,-5.84,9.75
1064,Avarua,75,88,-21.21,77.0,8.05
1065,Karaton,40,62,-6.34,89.6,12.75
1066,San Policarpo,80,92,12.18,81.74,11.65
1067,Pevek,0,69,69.7,31.61,9.64
1068,Nikolskoye,90,95,59.7,32.0,17.9
1069,Tessalit,0,35,20.2,62.03,3.38
1070,Punta Arenas,0,80,-53.16,41.0,11.41
1071,Klyuchi,56,76,52.25,30.71,13.56
1072,Praia da Vitoria,75,71,38.73,57.2,31.12
1073,Atuona,68,100,-9.8,81.38,16.35
1074,Leningradskiy,0,84,69.38,22.88,8.97
1075,Georgetown,75,100,6.8,73.4,5.5
1076,Atambua,12,90,-9.11,85.97,3.15
1077,Qaanaaq,0,84,77.48,-5.84,9.75
1078,Kodiak,90,100,39.95,33.8,3.36
1079,Mataura,92,73,-46.19,59.15,27.98
1080,Yellowknife,5,63,62.45,-7.61,8.05
1081,Egvekinot,0,94,66.32,29.09,2.48
1082,Punta Arenas,0,80,-53.16,41.0,11.41
1083,Bethel,1,63,60.79,28.4,13.87
1084,Bethel,1,63,60.79,28.4,13.87
1085,Talakan,56,31,50.29,30.17,15.68
1086,Roald,0,68,62.58,25.21,13.87
1087,Hermanus,76,96,-34.42,62.3,5.95
1088,Bambous Virieux,75,88,-20.34,80.6,8.05
1089,Isla Vista,1,87,34.41,53.2,4.7
1090,Okhotsk,68,71,59.36,28.46,17.69
1091,Castro,92,100,-42.48,54.92,3.6
1092,Chuy,56,99,-33.69,66.44,5.17
1093,Caravelas,8,100,-17.73,80.12,15.01
1094,Namatanai,24,100,-3.66,82.73,6.17
1095,Yellowknife,5,63,62.45,-7.61,8.05
1096,Pevek,0,69,69.7,31.61,9.64
1097,Bluff,88,46,-23.58,84.44,16.02
1098,Avarua,75,88,-21.21,77.0,8.05
1099,Maun,0,72,-19.99,68.0,12.75
1100,Rikitea,20,100,-23.12,79.04,4.94
1101,Zaraza,8,87,9.35,75.53,9.98
1102,Hermanus,76,96,-34.42,62.3,5.95
1103,Yellowknife,5,63,62.45,-7.61,8.05
1104,Lichinga,56,99,-13.3,67.25,5.39
1105,Upernavik,20,90,72.79,12.98,12.66
1106,New Norfolk,20,40,-42.78,69.8,17.22
1107,Rikitea,20,100,-23.12,79.04,4.94
1108,Rikitea,20,100,-23.12,79.04,4.94
1109,Castro,92,100,-42.48,54.92,3.6
1110,Upernavik,20,90,72.79,12.98,12.66
1111,Yumen,8,38,40.29,50.33,11.99
1112,Ushuaia,75,80,-54.81,41.0,16.11
1113,Dikson,36,91,73.51,1.55,18.81
1114,Hereford,76,97,52.06,46.82,12.33
1115,Tiksi,36,85,71.64,13.97,7.07
